cellName,fusionPresent_bool
J15_B003112,0
H17_B003659,0
H5_B003647,0
N8_B003643,0
C9_B003920,0
M4_B003070,0
H3_B003528,0
B3_B001474,0
L6_B003070,0
K6_1001000410,0
C18_1001000409,0
F4_B003129,0
A13_B003112,0
B9_B000863,0
J21_B000275,0
G12_B003129,0
F19_B003067,0
E20_B003659,0
N7_B002571,0
P1_B000419,0
B20_B001470,0
D8_B000862,0
K6_B003191,0
A18_B003518,0
K2_B003522,0
F19_B002074,0
P21_B001464,0
H9_1001000294,0
A14_B003528,0
O3_B001800,0
J18_B003647,0
C15_B001016,0
D18_B002078,0
J18_B003528,0
M11_B003643,0
B10_B003048,0
P12_B003132,0
K18_B003518,0
B14_B003125,0
K8_1001000408,0
M22_B003528,0
E20_B003642,0
I3_B003191,0
O3_B003894,0
C17_B003187,0
C16_B001545,0
P4_B001008,0
A19_B003527,0
H17_B003643,0
G20_B003187,0
I17_B003115,0
H11_B001545,0
N16_B003658,0
H5_1001000407,0
P22_B003588,0
M7_B003116,0
M20_B000862,0
D5_1001000294,0
N11_B003529,0
K13_1001000409,0
G2_B003070,0
M15_1001000410,0
B17_B002078,0
E9_1001000409,0
O15_1001000412,0
A19_B003116,0
M5_B003117,0
H1_B003785,0
K7_B003191,0
M10_B003648,0
C11_B003588,0
E16_B003588,0
A21_B003777,0
F11_1001000293,0
M14_1001000412,0
N5_B003126,0
B2_B000429,0
L7_B003642,0
C14_B003777,0
O10_1001000407,0
M9_B003659,0
N11_B003113,0
G15_B003577,0
E1_B003777,0
G3_B003117,0
C10_B000420,0
M14_B002097,0
G16_1001000407,0
A20_B003642,0
M20_B002571,0
H12_B003648,0
I4_1001000408,0
J16_1001000409,0
I16_B000863,0
B7_1001000298,0
P10_B003658,0
F18_B000860,0
E21_B003654,0
G9_B003522,0
L18_B001474,0
F2_B003659,0
K8_B003643,0
J19_B000861,0
I19_B003658,0
N2_B003116,0
D10_B003121,0
P17_B001608,0
H12_1001000407,0
N21_B003577,0
E7_B001543,0
G17_B001464,0
M1_B003776,0
C19_B003527,0
A5_1001000299,0
D17_B003191,0
A11_B003187,0
G15_B003187,0
D14_1001000412,0
I18_B003132,0
C10_B001470,0
O14_B003071,0
K3_1001000376,0
C8_1001000302,0
C18_B003518,0
P9_B003523,0
I5_B003129,0
A16_B001556,0
F14_1001000409,0
B20_B002573,0
J17_B003656,0
N8_1001000410,0
A13_B000420,0
N19_1001000407,0
B18_B003528,0
L1_B000420,0
L21_B002078,0
B11_1001000412,0
C15_B003527,0
I9_B003659,0
L22_B003120,0
G22_B003527,0
J22_B003777,0
I3_B003528,0
H7_B002573,0
K20_B001617,0
B2_B000280,0
N21_B002572,0
O6_B003588,0
C19_B001008,0
B16_B003078,0
O16_B003048,0
L21_B003920,0
G14_B003777,0
J16_1001000412,0
J4_B001799,0
K5_B001474,0
A9_1001000297,0
A1_B000420,0
E19_B003113,0
O10_B003776,0
D16_B001608,0
F15_B003528,0
E3_B003654,0
D3_B003115,0
P18_B003119,0
M20_B003132,0
K3_B003659,0
H3_1001000327,0
E22_B003116,0
K17_B000861,0
D15_B001545,0
E8_1001000299,0
P10_B000863,0
A3_1001000315,0
F3_1001000297,0
A22_B003642,0
L13_B003894,0
K17_B001608,0
E5_1001000327,0
N8_B001556,0
F19_B002097,0
G17_1001000339,0
C2_B001556,0
B13_B003071,0
P11_B003894,0
P6_B003577,0
L19_B002097,0
J18_B000861,0
M21_B001545,0
C5_B002573,0
L16_B003577,0
O6_B003132,0
E20_B001556,0
D18_B001543,0
F18_1001000378,0
A5_B003654,0
D2_B003117,0
N19_B003648,0
M15_B003920,0
J20_B000883,0
O20_B000901,0
O7_1001000408,0
H16_1001000378,0
D12_B001016,0
K12_B003920,0
D2_B003920,0
C6_B001016,0
N13_B001470,0
F18_B003112,0
M13_B003518,0
P3_1001000376,0
A14_1001000407,0
O10_1001000411,0
K13_B003577,0
N15_1001000408,0
C8_B003117,0
F10_B001008,0
E2_B003775,0
E19_B003132,0
N8_B002573,0
J6_B003115,0
G8_B003777,0
H21_B003528,0
E17_B003642,0
E21_B000861,0
D14_B003129,0
L3_B003642,0
I4_B003528,0
L22_1001000410,0
O8_B003070,0
H20_B003112,0
K15_B003659,0
D9_B001545,0
I20_B003121,0
D14_B003126,0
D7_B003191,0
G10_B000862,0
A18_B003527,0
N2_B002573,0
P20_B003522,0
F10_1001000409,0
F18_B003046,0
C11_B003080,0
H1_B000860,0
A9_B003577,0
I7_B003529,0
D19_B001608,0
K21_B001543,0
P12_B003588,0
J20_B003527,0
A9_B000420,0
F7_B002078,0
M16_B001545,0
O19_B002074,0
L18_B003115,0
I22_B003647,0
F20_B003658,0
G21_1001000340,0
C5_B003071,0
A7_B002571,0
L5_B001556,0
A4_B003070,0
J6_B002571,0
D10_B003129,0
P3_B003577,0
O2_B001800,0
E15_B003071,0
B3_B003920,0
C2_B000860,0
J15_B003125,0
L8_1001000409,0
B1_B003654,0
K15_B003132,0
D14_B003920,0
L16_B003067,0
E3_B003117,0
J13_B000575,0
C10_1001000292,0
E10_B001474,0
J15_B003659,0
I22_B003116,0
A15_B003097,0
M11_B003518,0
D3_B003191,0
A27_1001000000,0
G5_1001000362,0
K22_B003093,0
K2_B001798,0
O2_B003067,0
I7_B001016,0
G6_B001474,0
J4_B003187,0
E6_B003187,0
M6_B003588,0
N4_B001795,0
E8_B001608,0
J20_B003658,0
J10_B003117,0
J19_B002074,0
H1_B002568,0
B4_B002090,0
H15_B003093,0
H15_B003775,0
L1_B003191,0
F7_1001000295,0
G2_1001000327,0
F13_B003529,0
A6_B003648,0
J16_B003121,0
D4_B003775,0
K5_1001000409,0
I21_B003071,0
M13_1001000407,0
F9_B003093,0
A22_1001000410,0
L18_B001464,0
K14_B001474,0
J5_B003125,0
J5_B003642,0
G8_B000863,0
I19_B001608,0
N9_B002074,0
G4_B003776,0
E11_1001000329,0
D3_B000861,0
G18_B001475,0
G15_B003097,0
P7_B003070,0
A14_B003776,0
N4_B003067,0
M14_B003120,0
P17_B002097,0
J20_B003113,0
L4_1001000376,0
D8_B003048,0
N6_B003117,0
G5_B001798,0
L14_B003119,0
O22_B003658,0
B5_B003048,0
D4_1001000314,0
J9_B002572,0
P18_1001000412,0
E16_B002074,0
E20_B002078,0
F9_1001000302,0
I19_1001000410,0
M20_B000861,0
G7_B003187,0
M4_B003643,0
M6_B003518,0
H10_B003920,0
H4_B000863,0
H3_1001000376,0
B4_1001000292,0
B21_B000863,0
K3_1001000410,0
D22_B003588,0
I8_B003528,0
C19_B003656,0
M15_B002074,0
C17_B002572,0
I21_B001474,0
B7_B002573,0
O7_B001608,0
L5_B002573,0
C3_B003577,0
